text,product
"Excelente, só falta um site para acompanhar.",App
Amando a Nomad,App
excelente!!,App
boa,App
"Além da taxa de transferência pra bancos do BR ser MUITO alta, demora pra krl. Fiz a tranferência dia 30/06 as 21:31. E hoje já é dia 2!! Quase batendo este horário e fechando os dois dias úteis, e ainda não caiu!! Nem inventem de usar esse banco, só pra se estressar.",App
excelente.....só loko ki não tem .... pra investir....parabéns continuem assim,App
comecei a usar a pouco tempo mas estou gostando fácil de usar,App
muito bom.,App
Bom D +,App
excelente,App
muito bom,App
bão,App
"fácil, rápido, eficiente.",App
Excelenteee!!!,App
"Não estou conseguindo abrir a minha conta no App, não sei o que está acontecendo. Preciso de suporte ! 😢😢",App
"12 dias apenas investir foi golpe (quando vi ja foi), mas tá melhor Avenue no momento!",App
ainda tô aprendendo mexer mais e muito interessante,App
fantástica,App
"Muito bom, gostei 👍",App
muito bom,App
plataforma ela é boa só o que eu não gosto dentro da nomad é ter que esperar 2 dias úteis para receber meu dinheiro na minha conta bancária já outros plataforma oferece serviços com saque imediato via pix em poucos minutos você recebe seu dinheiro na conta via pix a wise e uma dessas plataformas que permite você trocar dólar por real e já sacar imediatamente para sua conta bancária via pix sem ter que esperar 2 dias úteis se a nomad implantar um sistema saque imediato a plataforma vai melhorar,App
comecei a usar o app há pouco tempo. Já curti as propostas do app e a ideia de usar este app pra pagar contas em vários países é ótimo! Eu recomendo o uso!,App
reconhecimento facial não espera o foco da câmera e depois reclama que não foi possível identificar,App
bom!,App
"Sim, no momento estou usando o Nomad há alguns dias, estou avaliando...",App
excelente ! recomendo com empenho !,App
ótima plataforma,App
gosto muito do banco.,App
Fácil de operar e atendimento bom,App
prático e rápido,App
muito bem o aplicativo,App
"Estou gostando, muito fácil de mexer.",App
"Aplicativo fácil, seguro, vale apena investir nos EUA, renda fixa, viagens. Recomendo.",App
muito bom,App
Bom,App
muito rápido e fácil,App
"Aplicativo excelente, fácil manuseio, interativo e rápido.",App
"fiz uma transferência no valor de quase 100 reais para minha conta da nubank sexta-feira passada, e até hoje o dinheiro não caiu na minha conta da nubank",App
"Por enquanto estou conhecendo vou dar nota 3 pelo motivo de comprar dólar com eles para conta de investimento, Valor absurdo para o pequeno investidor , Nomad ainda colocou valor mínimo de R$300 Reais,para comprar $$$ para conta investimento sacanagem ne, mínimo aí de R$100 seria ótimo ou valor até Menor pois as vezes sobra um troquinho do pão e o Dólar está com oportunidade de comprar e perdemos a oportunidade, pq temos que juntar mais R$200 pra poder esperar uma nova oportunidade pensem nisso",App
top,App
"sou novo por aqui, mais ja estou gastando",App
Aplicativo de fácil utilização.,App
depois que Nomad virou uma corretora ficou muito ruim. não mostras informações necessárias . com Day trade,App
boa,App
Acima do esperado.,App
"Cuidado. Se você está investindo nessa fintech achando que eles vão te dar o cartão nomad explorer, conforme aquela propaganda enganosa deles de invertir a partir de US$1000, esqueça. Vão te enrolar por meses dizendo que estão analisando seu cadastro. Melhor investir seu dinheiro em uma conta internacional da XP, onde o cartão Visa Infinite é gratuito e com o limite vinculado aos seus investimentos.",App
"Péssima experiência, não recomendo, cobraram 20 dólares de cartão que nunca chega, isso é enganar os clientes Pelo o que estou vendo, não só só eu que imensa frustração, com o Nomad, já entrei em contato no chat, mas acho que vocês acham que sou desocupado, mas é engano seus, só um homem que trabalha muito e não tenho tempo pra ficar 30 a 40 minutos pra ser atendido",App
Praticidade!,App
ótimo,App
banco maravilhoso muito atencioso o atendimento mil,App
Fácil de usar e rápido.,App
Não é intuitivo,App
Muito bom !,App
Sensacional!! E muito prestativos em relação ao atendimento ao cliente! Parabéns,App
prático e rápido,App
muito ruim quando vou criar uma conta! da erro... eu nem daria uma estrela daria zero 👎🏽👎🏽,App
Fácil e bem intuitivo,App
praticidade,App
"Excelente! simplicidade e rapidez nas operações, muito satisfeito! espero mais desenvolvimento para ficar ainda melhor!",App
